,acc,loss,bi_loss,bi_acc,l1
0,0.1039000004529953,8.878890037536621,2.674818992614746,0.1039000004529953,1.0
1,0.08309999853372574,3.5881850719451904,2.9716057777404785,0.08309999853372574,0.1
2,0.13680000603199005,2.6869494915008545,2.6261534690856934,0.13680000603199005,0.01
3,0.41350001096725464,1.935666561126709,1.9297839403152466,0.41350001096725464,0.001
4,0.7746000289916992,0.8942615389823914,0.8440958261489868,0.7548999786376953,0.0001
5,0.857200026512146,0.5608526468276978,0.5718236565589905,0.8338000178337097,1e-05
6,0.8687000274658203,0.4923095703125,0.5465351343154907,0.8392000198364258,1e-06
7,0.8684999942779541,0.4750530421733856,0.5458924770355225,0.8371999859809875,1e-07
8,0.8683000206947327,0.4724508225917816,0.5383100509643555,0.8410000205039978,1e-09
9,0.8686000108718872,0.4725247621536255,0.549951434135437,0.8418999910354614,1e-09
10,0.8677999973297119,0.47352465987205505,0.5400252938270569,0.8427000045776367,0.0
