,order,weight
0,0.0,0.9248422957275292
1,1.0,3.4582279686010087
2,2.0,-50.43924971724137
3,3.0,344.98558492237987
4,4.0,-1195.0630839481933
5,5.0,1954.472199952585
6,6.0,-849.8700730965959
7,7.0,-1065.0250828526832
8,8.0,281.67020340232887
9,9.0,919.4889606574875
10,10.0,479.3126815823698
11,11.0,-304.37430387635715
12,12.0,-710.8687812593046
13,13.0,-515.3318388409563
14,14.0,47.482749697282514
15,15.0,541.6187456109858
16,16.0,609.4596992851589
17,17.0,170.04756189582716
18,18.0,-486.71395814734234
19,19.0,-696.371084867023
20,20.0,522.21598016913
