Wavelength,c
339.32965,0.908387121
339.7089347,0.908387121
340.0881806,0.908387121
340.4673879,0.938985355
340.8465564,0.660848323
341.2256862,0.772864881
341.6047772,0.774849069
341.9838295,1.095781711
342.362843,0.782436704
342.7418178,0.859644115
343.1207537,0.723391398
343.4996509,1.148995792
343.8785093,1.100242712
344.2573289,0.992956107
344.6361097,1.080155919
345.0148516,0.763652148
345.3935547,0.923686035
345.772219,0.801323442
346.1508444,1.103742805
346.529431,1.019462196
346.9079787,1.082589102
347.2864875,1.051659476
347.6649575,0.907058767
348.0433885,0.825805793
348.4217806,1.065568051
348.8001339,1.083126191
349.1784482,0.970703917
349.5567236,0.853162721
349.93496,1.020405623
350.3131575,1.036584994
350.6913161,0.934486084
351.0694356,0.910144495
351.4475162,1.028183495
351.8255579,1.093942885
352.2035605,1.046859931
352.5815241,0.962201044
352.9594488,0.974132647
353.3373344,1.064236221
353.715181,0.850195221
354.0929885,0.91601386
354.470757,0.879916597
354.8484865,1.115894361
355.2261769,0.956000047
355.6038282,0.958092252
355.9814404,1.053424641
356.3590136,1.017283525
356.7365477,1.107820254
357.1140426,0.969116161
357.4914985,0.89854088
357.8689152,0.909485245
358.2462928,0.984870362
358.6236312,0.977250446
359.0009305,1.06439059
359.3781907,1.165212517
359.7554116,1.186262374
360.1325934,1.001617028
360.509736,0.953516894
360.8868395,1.104920074
361.2639037,0.992207581
361.6409287,0.985200942
362.0179145,1.044116913
362.3948611,0.935193485
362.7717684,1.10587055
363.1486365,1.031591914
363.5254653,1.081042263
363.9022548,1.018499222
364.2790051,1.174236821
364.6557161,0.957977969
365.0323879,0.936353928
365.4090203,1.176297098
365.7856134,0.906201541
366.1621672,1.014771432
366.5386816,0.964554851
366.9151568,0.966971283
367.2915926,1.114938161
367.667989,1.040379391
368.0443461,0.994011044
368.4206638,1.111135478
368.7969421,1.068928177
369.1731811,1.214865798
369.5493806,1.10161395
369.9255408,1.083201152
370.3016615,0.867456439
370.6777428,0.87944209
371.0537847,0.997306584
371.4297872,0.957514204
371.8057501,0.898192174
372.1816737,1.060054026
372.5575577,0.924881501
372.9334023,1.118004413
373.3092074,0.95965332
373.6849731,0.978418991
374.0606992,0.948567173
374.4363858,0.991332577
374.8120329,1.007120259
375.1876404,0.998561049
375.5632085,0.918411074
375.9387369,1.013207196
376.3142259,0.988664042
376.6896752,0.9381956
377.065085,0.990262035
377.4404552,1.061358982
377.8157858,0.965333708
378.1910768,0.914068089
378.5663283,0.963952568
378.9415401,1.036623002
379.3167122,1.076521699
379.6918448,1.070829547
380.0669377,0.946850964
380.4419909,0.949692899
380.8170045,0.948149522
381.1919784,0.905531688
381.5669126,0.981953792
381.9418072,0.983980971
382.3166621,0.945622209
382.6914772,1.020966888
383.0662527,1.007604278
383.4409884,1.01723171
383.8156844,0.966440926
384.1903406,0.966610815
384.5649571,1.158939559
384.9395339,0.947423482
385.3140708,1.035044576
385.688568,1.024106139
386.0630255,1.025763076
386.4374431,0.981594418
386.8118209,1.073113794
387.1861589,0.990827539
387.5604571,1.003512455
387.9347155,1.022921268
388.308934,1.016369121
388.6831127,0.971436479
389.0572516,1.057567768
389.4313505,1.032282316
389.8054097,0.949987183
390.1794289,1.000150393
390.5534082,0.958369505
390.9273477,0.966906416
391.3012472,0.935530829
391.6751068,0.990827929
392.0489265,1.10994564
392.4227062,0.977519742
392.7964461,1.032619264
393.1701459,1.017713835
393.5438058,0.9986741
393.9174258,0.931796793
394.2910057,1.005355343
394.6645457,1.027498088
395.0380457,1.006839643
395.4115057,1.021313972
395.7849256,1.019155469
396.1583056,0.995189268
396.5316455,0.997520011
396.9049454,1.030960475
397.2782052,0.976959508
397.651425,1.013865301
398.0246047,0.956529598
398.3977443,0.936700462
398.7708439,1.057295093
399.1439033,0.956418861
399.5169227,1.001394896
399.8899019,1.012446395
400.2628411,1.018870946
400.6357401,0.951952846
401.0085989,1.039794678
401.3814176,0.966193291
401.7541962,0.973243598
402.1269346,1.021999516
402.4996329,1.02381557
402.8722909,1.030336047
403.2449088,1.059132966
403.6174865,0.982387239
403.9900239,1.030017579
404.3625212,1.004019717
404.7349782,1.022406798
405.107395,1.011810598
405.4797716,1.029953606
405.8521079,0.969735606
406.2244039,1.002464098
406.5966597,0.983274042
406.9688752,1.013356934
407.3410504,1.011371833
407.7131853,0.952734251
408.0852799,0.954164828
408.4573343,0.963775567
408.8293482,0.993572611
409.2013219,0.977890824
409.5732552,1.030843102
409.9451482,0.971601877
410.3170008,0.973780938
410.6888131,1.0237503
411.0605849,1.038799481
411.4323164,0.989522519
411.8040075,0.989810323
412.1756582,0.989351473
412.5472685,0.99288232
412.9188384,0.971158739
413.2903679,0.996520427
413.6618569,1.06951014
414.0333055,1.006830104
414.4047136,0.998268825
414.7760812,1.004553702
415.1474084,0.977015096
415.5186951,0.996827902
415.8899414,1.034466285
416.2611471,0.995183599
416.6323123,1.060931308
417.003437,0.995317075
417.3745212,0.997480273
417.7455648,1.005653091
418.116568,1.063220864
418.4875305,1.01936092
418.8584525,1.01850189
419.2293339,1.002153394
419.6001748,1.060248921
419.9709751,0.985851667
420.3417348,1.051867369
420.7124538,1.030956425
421.0831323,1.043593019
421.4537701,1.008169453
421.8243674,0.982320982
422.1949239,0.99600427
422.5654399,1.023509536
422.9359152,1.026169201
423.3063498,0.991613286
423.6767437,1.047638824
424.047097,1.007096587
424.4174095,1.004553616
424.7876814,1.023235179
425.1579126,1.002952593
425.528103,1.012475686
425.8982527,1.000892254
426.2683617,1.037281004
426.6384299,0.985666391
427.0084574,1.01572136
427.3784442,1.046492405
427.7483901,1.029535695
428.1182953,0.987115963
428.4881597,0.997716052
428.8579833,0.99456111
429.2277661,1.030216455
429.5975081,1.029974898
429.9672092,1.013944376
430.3368695,1.031766853
430.706489,0.991101215
431.0760676,1.026537486
431.4456054,1.032861152
431.8151023,1.010400098
432.1845584,1.041727032
432.5539735,1.009278755
432.9233478,0.99668894
433.2926811,1.033283912
433.6619736,1.002536604
434.0312251,1.033203434
434.4004357,1.008077799
434.7696053,1.019893445
435.138734,1.003693762
435.5078218,1.005875059
435.8768686,0.985607641
436.2458744,1.022098556
436.6148392,0.993590569
436.9837631,1.028424159
437.3526459,1.011107328
437.7214878,1.013585879
438.0902886,1.036465981
438.4590484,0.989678517
438.8277672,1.016838329
439.1964449,0.993280232
439.5650816,0.987436894
439.9336772,1.003170082
440.3022317,1.010200743
440.6707452,0.982375043
441.0392176,0.99068043
441.4076489,0.995461368
441.776039,1.015869174
442.1443881,1.025320197
442.512696,1.017763113
442.8809628,1.002492615
443.2491885,0.995748764
443.617373,1.015554057
443.9855164,0.998952809
444.3536186,1.002005668
444.7216796,0.991794411
445.0896995,1.000324659
445.4576781,1.013127637
445.8256156,1.016676786
446.1935118,1.002385464
446.5613668,0.995288505
446.9291806,1.016307587
447.2969532,1.00145851
447.6646845,1.015809141
448.0323745,1.009729537
448.4000233,1.008528469
448.7676308,0.995715581
449.1351971,1.01038608
449.502722,1.006864771
449.8702056,0.999691773
450.237648,1.001719423
450.605049,1.015346028
450.9724087,1.017597538
451.3397271,1.002089566
451.7070041,0.989890771
452.0742398,1.014500157
452.4414341,1.007743764
452.808587,1.016042227
453.1756986,0.998078427
453.5427688,1.013549794
453.9097976,1.007258766
454.276785,0.999773031
454.6437309,1.028861648
